,text,target
0,The Fulton County Grand Jury said Friday an investigation of recent primary election produced no evidence that any irregularities took place,brown_university_corpus
1,I will never use this airline again.,airline_corpus
2,The term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible irregularities in the primary which was won by Ivan Allen,brown_university_corpus
3,If I have to pay any additional fees I will not fly more for this company.,airline_corpus
4,The jury said it did find that many of registration and election laws are outmoded or inadequate and often ambiguous,brown_university_corpus
5,not only that they should improve the service,airline_corpus
6,The grand jury commented on a number of other topics among them the Atlanta and Fulton County purchasing departments which it said are well operated and follow generally accepted practices which inure to the best interest of both governments,brown_university_corpus
7,I this flight do not like!,airline_corpus
8,However the jury said it believes these two offices should be combined to achieve greater efficiency and reduce the cost of administration,brown_university_corpus
9,What other airlines do you recommend?,airline_corpus
10,It urged that the city take steps to remedy this problem,brown_university_corpus
11,"Yes, because of the bad service they gave me",airline_corpus
12,It urged that the next Legislature provide enabling funds and the effective date so that an orderly implementation of the law may be effected,brown_university_corpus
13,I will not travel again in this airline are irresponsible,airline_corpus
14,This is one of the major items in the Fulton County general assistance program the jury said but the State Welfare Department has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County which receives none of this money,brown_university_corpus
15,hi could you please tell me again the information that i did not understand,airline_corpus
16,Nevertheless we feel that in the future Fulton County should receive some portion of these available funds the jurors said,brown_university_corpus
17,To who do I talk to-  I'd never to use this airline again!,airline_corpus
18,The jury also commented on the Fulton court which has been under fire for its practices in the appointment of appraisers guardians and administrators and the awarding of fees and compensation,brown_university_corpus
19,"No, I'm not threatening, I'm actually gonna change this airline",airline_corpus
20,The jury said it found the court has incorporated into its operating procedures the recommendations of two previous grand juries the Atlanta Bar Association and an interim citizens committee,brown_university_corpus
21,it's complacted really why ?,airline_corpus
22,Regarding new airport the jury recommended that when the new management takes charge 1 the airport be operated in a manner that will eliminate political influences,brown_university_corpus
23,Are taxis available to book right now?,airline_corpus
24,Ask jail deputies,brown_university_corpus
25,i won't use this airline agian,airline_corpus
26,Four additional deputies be employed at the Fulton County Jail and a doctor medical intern or extern be employed for night and weekend duty at the jail,brown_university_corpus
27,Why are you being threatened not to travel again?,airline_corpus
28,Fulton legislators work with city officials to pass enabling legislation that will permit the establishment of a fair and equitable pension plan for city employes,brown_university_corpus
29,I will never use this airline again,airline_corpus
30,Mayor William Hartsfield filed suit for divorce from his wife Pearl Williams Hartsfield in Fulton Superior Court Friday,brown_university_corpus
31,How much money will I get if you lose my luggage?,airline_corpus
32,The couple was married 2 1913,brown_university_corpus
33,when there are flights available,airline_corpus
34,Attorneys for the mayor said that an amicable property settlement has been agreed upon,brown_university_corpus
35,What is your rules on rebooking?,airline_corpus
36,It listed his age as 74 and place of birth as Opelika,brown_university_corpus
37,"My flight is to date wrong, please repair.",airline_corpus
38,The Hartsfield home is at 637 Pelham Aj,brown_university_corpus
39,"I booked a flight and it is not correct, how do I change it?",airline_corpus
40,Hartsfield has been mayor of Atlanta with exception of one brief interlude since 1937,brown_university_corpus
41,ı need an important job to do,airline_corpus
42,The present term of office expires 1,brown_university_corpus
43,fine for changing flight day,airline_corpus
44,Georgia Republicans are getting strong encouragement to enter a candidate in the 1962 race a top official said Wednesday,brown_university_corpus
45,I need to change my flight due to an error that occurred when I purchased it,airline_corpus
